Calendar Day,Normative Stock Required,Receipt,Consumption,Monitored Capacity(coal),Electricity Generated_Coal,Electricity Generated_Nuclear,Electricity Generated_Hydro
2025-02-13,71262.7,2596.9,2527.5,213873.01,3832.31,150.88000000000002,261.92000000000013
2025-02-12,71262.7,2668.3,2556.6,213873.01,3870.8800000000033,151.82,258.1000000000001
2025-02-11,71262.7,2722.6,2534.5,213873.01,3830.6,152.21,259.93000000000006
2025-02-10,71262.7,2765.2,2512.2,213873.01,3837.9000000000033,150.9,263.7100000000001
2025-02-09,71028.2,2638.3,2440.6,213873.01,3695.710000000001,152.59,225.19
2025-02-08,71028.2,2716.7,2469.3,213073.01,3751.850000000002,152.46,251.91000000000008
2025-02-07,71028.2,2710.3,2427.0,213073.01,3668.7800000000034,152.48000000000002,238.83
2025-02-06,71028.2,2570.0,2393.8,213073.01,3621.769999999997,152.95,231.6500000000001
2025-02-05,71028.2,2535.9,2434.5,213073.01,3691.0400000000022,152.75000000000003,272.68000000000006
2025-02-03,71028.2,2603.4,2431.7,213073.01,3708.100000000005,152.41,251.29000000000008
2025-01-28,65735.1,2611.1,2483.3,213073.01,3740.3699999999976,156.21999999999997,265.4600000000002
2025-01-27,65735.1,2422.3,2414.1,213073.01,3627.419999999999,155.95,241.72000000000008
2025-01-26,65735.1,2583.0,2288.3,213073.01,3389.729999999998,148.18,209.43000000000015
2025-01-23,65518.6,2499.6,2329.2,212413.01,3496.2899999999986,157.73999999999998,240.86000000000007
2025-01-22,65518.6,2488.3,2392.5,212413.01,3604.89,157.58999999999995,239.1800000000001
2025-01-21,65518.6,2481.1,2396.2,212413.01,3604.2699999999986,156.66,234.3599999999998
2025-01-20,65518.6,2433.5,2370.5,212413.01,3561.470000000002,156.32000000000002,234.3
2025-01-19,65518.6,2485.1,2338.0,212413.01,3504.0299999999997,153.45000000000002,208.88
2025-01-18,65518.6,2550.8,2351.0,212413.01,3548.5099999999993,147.51,247.29
2025-01-17,65518.6,2579.6,2297.8,212413.01,3442.23,141.55,231.4800000000002
2025-01-16,65518.6,2537.4,2283.5,212413.01,3399.149999999996,148.91,241.70000000000007
2025-01-15,65518.6,2419.3,2231.7,212413.01,3305.1599999999994,149.95,233.12
2025-01-14,65302.1,2570.2,2218.5,212413.01,3266.2599999999993,151.31,214.30000000000013
2025-01-13,65302.1,2540.7,2320.7,212413.01,3448.4000000000005,148.76,237.6500000000001
2025-01-12,65302.1,2527.8,2317.0,212413.01,3432.8200000000033,156.52999999999997,222.21000000000004
2025-01-11,65302.1,2556.5,2445.4,212413.01,3612.0900000000006,157.45000000000002,269.1600000000001
2025-01-10,65302.1,2501.2,2438.0,212413.01,3642.130000000001,157.31,250.0700000000002
2025-01-09,65302.1,2571.5,2393.8,212413.01,3570.7100000000028,157.43,237.88000000000017
2025-01-08,65302.1,2701.8,2376.7,211753.01,3550.169999999999,157.29,235.60000000000008
